predicate;regex;long_desc;short_desc;inverse_mapping;inverse_mapping_positive
finally(goal(you, 10), do(choice(you, 'B'), do(choice(them, 'R'), s0))).;finally\(goal\(([^,]+), (\d+)\), do\(choice\(([^,]+), '(\w+)'\), do\(choice\(([^,]+), '(\w+)'\), s0\)\)\)\.;'you' corresponds to the reasoner, 'them' to their opponent, 10 to payoff, and 'B', 'R' to choices that are assumed to give this payoff to the reasoner;players choices and the payoff resulting from these choices to the reasoner;{2} choosing {3} and {4} choosing {5} does not result in payoff {1} for {0};{2} choosing {3} and {4} choosing {5} results in payoff {1} for {0}
finally(goal(them, 10), do(choice(you, 'B'), do(choice(them, 'R'), s0))).;finally\(goal\(([^,]+), (\d+)\), do\(choice\(([^,]+), '(\w+)'\), do\(choice\(([^,]+), '(\w+)'\), s0\)\)\)\.;'them' corresponds to the reasoner’s opponent, 'you' to the reasoner, 10 to payoff, and 'B', 'R' to choices that are assumed to give this payoff to the opponent;players choices and the payoff resulting from these choices to the opponent;{2} choosing {3} and {4} choosing {5} does not result in payoff {1} for {0};{2} choosing {3} and {4} choosing {5} results in payoff {1} for {0}
higher(10, 35).;higher\((\d+)\, (\d+)\);10 and 35 correspond to numerical payoffs, 10 is assumed to be higher than 35;higher payoff;payoff {0} is not higher than payoff {1};Payoff {0} is lower than payoff {1}
lower(10, 35).;lower\((\d+)\, (\d+)\);10 and 35 correspond to numerical payoffs, 10 is assumed to be lower than 35;lower payoff;payoff {0} is not lower than payoff {1};Payoff {0} is higher than payoff {1}
highest_possible_individual_payoff(10).;highest_possible_individual_payoff\((\d+)\);10 corresponds to the assumed lowest possible payoff for the reasoner;The lowest possible reasoner’s payoff;payoff {0} is not your highest possible individual payoff;payoff {0} is your highest possible individual payoff
lowest_possible_individual_payoff(10).;lowest_possible_individual_payoff\((\d+)\);10 corresponds to the assumed highest possible payoff for the reasoner;the highest possible reasoner’s payoff;payoff {0} is not your lowest possible individual payoff;payoff {0} is your lowest possible individual payoff
highest_individual_payoff_for_choice(10, 'B').;highest_individual_payoff_for_choice\((\d+), '(\w+)'\);10 corresponds to the assumed highest individual payoff for a given choice, e.g. ‘B’;highest individual payoff for a given choice;payoff {0} is not your highest individual outcome for choice {1};payoff {0} is your highest individual outcome for choice {1}
lowest_individual_payoff_for_choice(10, 'B').;lowest_individual_payoff_for_choice\((\d+), '(\w+)'\);10 corresponds to the  assumed lowest individual payoff for a given choice, e.g. ‘B’;lowest individual payoff for a given choice;payoff {0} is not the lowest individual outcome for choice {1};payoff {0} is your lowest individual outcome for choice {1}
highest_guaranteed_payoff_choice('B').;highest_guaranteed_payoff_choice\('(\w+)'\);'B’ corresponds to the choice that is assumed to give the highest guaranteed (worst-case scenario) individual payoff;a choice that gives the highest guaranteed (worst-case scenario) payoff to reasoner;choice {0} does not give you the highest guaranteed (worst-case scenario) payoff;choice {0} gives you the highest guaranteed (worst-case scenario) payoff
higher_guaranteed_payoff('B', 'R').;higher_guaranteed_payoff\('(\w+)'\, '(\w+)'\);'B' and 'R' correspond to choices, and choice 'B' is assumed to give the higher guaranteed (worst-case scenario) payoff;evaluation of choices in terms of higher guaranteed (worst-case scenario) payoff for the reasoner;choice {1} gives you higher guaranteed (worst-case scenario) payoff than choice {0};choice {1} gives you lower guaranteed (worst-case scenario) payoff than choice {0}
lower_guaranteed_payoff('B', 'R').;lower_guaranteed_payoff\('(\w+)'\, '(\w+)'\);'B' and 'R' correspond to choices, and choice 'B' is assumed to give the lower guaranteed (worst-case scenario) payoff;evaluation of choices in terms of lower guaranteed (worst-case scenario) payoff for the reasoner;choice {1} gives you lower guaranteed (worst-case scenario) payoff than choice {0};choice {1} gives you higher guaranteed (worst-case scenario) payoff than choice {0}
highest_mutual_payoff('R', 'R').;highest_mutual_payoff\('(\w+)'\, '(\w+)'\);'R' and 'R' correspond to choices, and 'R' and ‘R’ choices are assumed to give the highest mutual payoff;highest mutual payoff;choices {0} and {1} do not give you the highest mutual payoff;choices {0} and {1} give you the highest mutual payoff
lowest_mutual_payoff('B', 'B').;lowest_mutual_payoff\('(\w+)'\, '(\w+)'\);'B' and 'B' correspond to choices, and 'B' and ‘B’ choices are claimed to give the lowest mutual payoff;lowest mutual payoff;choices {0} and {1} do not give you the lowest mutual payoff;choices {0} and {1} give you the lowest mutual payoff
